Temperature,HeartRate,HRV,SleepIndex,Tindex
33.08,60.84,0.00,0,1
33.20,60.84,0.00,0,1
33.05,60.84,0.00,0,1
0,60.84,0.00,0,1
33.16,60.84,0.00,0,1
33.02,60.84,0.00,0,1
33.08,60.84,0.00,0,1
33.20,60.84,0.00,0,1
33.05,60.84,0.00,0,1
33.15,0.00,0.00,0,1
33.00,0.00,0.00,0,1
33.03,0.00,0.00,0,1
36.16,0.00,0.00,0,0
30.52,0.00,0.00,0,1
2,60.84,0.00,0,1
32.27,60.84,0.00,0,1
32.19,60.90,0.00,0,1
32.48,60.84,0.00,0,1
32.43,60.90,0.00,0,1
32.25,60.84,0.00,0,1
36.19,0.00,0.00,0,0
35.78,60.96,0.41,0,1
35.69,60.78,0.50,0,1
35.61,60.84,0.50,0,1
35.46,60.90,0.41,0,1
35.35,60.84,0.00,0,1
35.41,60.78,0.00,0,1
35.38,60.90,0.00,0,1
35.71,60.90,0.00,0,1
35.80,60.90,0.00,0,1
36.01,60.90,0.00,0,0
36.13,60.90,0.00,0,0
36.48,60.90,0.00,0,0
39.94,60.90,0.00,0,0
40.00,60.90,0.00,0,0
34.51,60.90,0.00,0,1
32.99,50.00,3.26,0,1
32.87,60.90,3.26,0,1
32.84,60.90,3.26,0,1
33.13,50.00,3.18,0,1
33.01,50.00,3.18,0,1
36.66,50.00,3.09,0,0
38.36,60.84,3.09,0,0
,0.00,0.00,0,1
33.93,0.00,0.00,0,1
33.75,0.00,0.00,0,1
33.67,0.00,0.00,0,1
33.83,0.00,0.00,0,1
35.77,0.00,0.00,0,1
35.97,59.62,0.21,0,1
35.97,59.85,0.25,0,1
35.85,59.73,0.25,0,1
35.40,59.62,0.21,0,1
35.03,59.85,0.00,1,1
35.31,59.50,0.00,1,1
35.24,59.73,0.00,1,1
35.23,59.85,0.00,1,1
35.14,59.62,0.00,1,1
34.84,59.62,0.00,1,1
34.79,59.73,0.00,1,1
34.31,59.62,0.00,1,1
34.07,59.62,0.00,1,1
34.24,59.73,0.00,1,1
34.14,59.73,0.00,1,1
34.23,59.73,0.00,1,1
34.16,59.73,0.00,1,1
34.20,59.73,0.00,1,1
34.28,50.00,0.62,0,1
34.61,50.00,0.62,0,1
34.58,50.00,0.62,0,1
34.62,50.00,0.62,0,1
34.26,50.00,0.62,0,1
31.75,50.00,0.62,0,1
32.48,50.00,0.62,0,1
32.97,50.00,0.62,0,1
33.64,50.00,0.62,0,1
34.47,50.00,0.62,0,1
34.39,50.00,0.62,0,1
34.94,50.00,0.62,0,1
34.72,50.00,0.62,0,1
35.59,50.00,0.62,0,1
35.67,50.00,0.62,0,1
35.58,50.00,0.62,0,1
34.89,50.00,3.02,0,1
34.84,50.00,3.02,0,1
35.11,50.00,3.02,0,1
34.95,50.00,3.02,0,1
35.34,50.00,3.02,0,1
35.37,50.00,2.87,0,1
35.23,59.73,2.87,0,1
30.00,59.73,2.87,0,1
30.00,59.62,3.02,0,1
30.00,59.73,0.83,0,1
30.00,59.73,0.00,1,1
30.00,59.73,0.00,1,1
30.00,59.50,0.00,1,1
30.00,59.85,0.00,1,1
30.00,59.73,0.00,1,1
30.14,59.62,0.00,1,1
30.40,59.73,0.00,1,1
30.65,59.85,0.00,1,1
36.03,0.00,0.00,0,0
35.62,50.84,0.05,1,1
35.51,50.42,0.06,1,1
35.55,50.42,0.06,1,1
35.01,50.42,0.05,1,1
35.05,50.42,0.00,1,1
34.66,50.84,0.00,1,1
35.23,50.42,0.00,1,1
35.93,50.42,0.00,1,1
36.60,50.42,0.00,1,0
37.02,50.00,0.00,1,0
37.82,51.27,0.00,1,0
38.64,50.42,0.00,1,0
40.00,50.42,0.00,1,0
40.00,50.84,0.00,1,0
40.00,50.00,0.00,1,0
40.00,50.00,0.00,1,0
39.99,50.00,0.00,1,0
39.68,50.00,0.00,1,0
39.57,50.00,0.14,0,0
39.36,50.42,0.14,0,0
39.28,50.84,0.14,0,0
39.17,50.00,0.14,0,0
38.65,50.00,0.14,0,0
38.60,50.00,0.14,0,0
38.41,50.00,0.14,0,0
38.48,50.00,0.14,0,0
38.27,50.00,0.14,0,0
38.23,50.00,0.14,0,0
37.99,50.00,0.27,0,0
38.14,50.00,0.28,0,0
37.95,50.00,0.28,0,0
37.83,50.00,0.28,0,0
37.91,50.00,0.28,0,0
37.82,50.00,0.28,0,0
37.81,50.00,0.28,0,0
37.73,50.00,0.28,0,0
37.72,50.00,0.33,0,0
37.61,50.84,0.33,0,0
37.65,50.84,0.33,0,0
37.69,50.84,0.33,0,0
37.57,50.84,0.33,0,0
37.46,50.84,0.33,0,0
37.44,50.84,0.33,0,0
37.46,50.84,0.33,0,0
37.64,50.00,0.35,0,0
38.67,50.42,0.35,0,0
39.21,50.42,0.35,0,0
39.05,50.42,0.35,0,0
39.02,50.42,0.35,0,0
39.00,50.42,0.35,0,0
38.88,50.42,0.35,0,0
38.61,50.00,0.34,0,0
37.50,50.00,0.34,0,0
31.59,0.00,0.00,0,1
31.71,50.84,0.05,1,1
31.69,50.42,0.06,1,1
31.69,50.00,0.06,1,1
31.76,50.84,0.05,1,1
31.87,50.42,0.00,1,1
31.74,50.84,0.00,1,1
31.86,50.00,0.00,1,1
31.82,50.84,0.00,1,1
31.92,50.42,0.00,1,1
31.91,50.00,0.00,1,1
32.05,51.27,0.00,1,1
32.38,50.42,0.00,1,1
32.51,50.00,0.00,1,1
33.10,50.84,0.00,1,1
35.19,50.42,0.00,1,1
35.16,50.00,0.00,1,1
35.37,51.27,0.00,1,1
35.69,50.00,0.00,1,1
35.98,50.84,0.00,1,1
36.14,50.00,0.00,1,0
36.09,50.84,0.00,1,0
36.09,50.42,0.00,1,0
36.08,50.84,0.00,1,0
36.07,50.84,0.00,1,0
36.09,50.84,0.00,1,0
36.32,50.84,0.00,1,0
36.60,50.84,0.00,1,0
36.63,50.84,0.00,1,0
36.68,50.84,0.00,1,0
36.77,50.84,0.00,1,0
36.86,50.84,0.00,1,0
36.84,50.84,0.00,1,0
36.83,50.84,0.00,1,0
36.88,50.84,0.00,1,0
36.89,50.84,0.00,1,0
36.82,50.84,0.00,1,0
36.79,50.84,0.00,1,0
36.75,50.84,0.00,1,0
36.70,50.84,0.00,1,0
36.83,50.84,0.00,1,0
36.78,50.84,0.00,1,0
36.65,50.84,0.00,1,0
36.48,50.84,0.00,1,0
36.11,50.84,0.00,1,0
36.21,50.84,0.00,1,0
36.09,50.84,0.00,1,0
35.72,50.84,0.00,1,1
35.37,50.84,0.00,1,1
34.13,50.84,0.00,1,1
33.95,50.84,0.00,1,1
32.96,50.84,0.00,1,1
32.50,50.84,0.00,1,1
32.98,50.84,0.00,1,1
33.40,50.84,0.00,1,1
33.17,50.84,0.00,1,1
33.13,50.84,0.00,1,1
33.79,50.84,0.00,1,1
33.73,50.84,0.00,1,1
33.39,50.84,0.00,1,1
33.44,50.84,0.00,1,1
33.72,50.84,0.00,1,1
33.47,50.84,0.00,1,1
33.37,50.84,0.00,1,1
33.80,50.84,0.00,1,1
33.48,50.84,0.00,1,1
33.37,50.84,0.00,1,1
33.13,50.00,2.06,0,1
32.87,50.84,2.06,0,1
33.45,50.84,2.06,0,1
35.23,50.00,2.05,0,1
32.49,50.00,2.05,0,1
34.00,50.42,2.05,0,1
33.71,50.00,0.05,1,1
33.57,51.27,0.05,1,1
33.53,50.42,0.00,1,1
33.54,50.42,0.00,1,1
33.49,50.00,0.00,1,1
33.51,50.84,0.00,1,1
33.47,50.84,0.00,1,1
33.55,50.42,0.00,1,1
33.46,50.00,0.00,1,1
33.50,50.84,0.00,1,1
33.53,50.42,0.00,1,1
33.48,50.42,0.00,1,1
33.50,50.42,0.00,1,1
33.49,50.84,0.00,1,1
33.40,50.42,0.00,1,1
33.37,50.42,0.00,1,1
33.43,50.42,0.00,1,1
33.30,50.42,0.00,1,1
33.32,50.42,0.00,1,1
33.20,50.42,0.00,1,1
33.25,50.42,0.00,1,1
33.37,50.42,0.00,1,1
33.32,50.42,0.00,1,1
33.37,50.42,0.00,1,1
33.20,50.42,0.00,1,1
33.23,50.42,0.00,1,1
33.25,50.42,0.00,1,1
33.25,50.42,0.00,1,1
33.30,50.42,0.00,1,1
33.33,50.42,0.00,1,1
33.30,50.42,0.00,1,1
33.32,50.42,0.00,1,1
33.34,50.42,0.00,1,1
33.48,50.42,0.00,1,1
33.42,50.42,0.00,1,1
33.47,50.42,0.00,1,1
33.60,50.42,0.00,1,1
33.50,50.42,0.00,1,1
33.66,50.42,0.00,1,1
33.64,50.42,0.00,1,1
33.77,50.42,0.00,1,1
33.61,50.42,0.00,1,1
33.71,50.42,0.00,1,1
33.80,50.42,0.00,1,1
33.12,0.00,0.00,0,1
33.34,0.00,0.00,0,1
33.49,0.00,0.00,0,1
33.61,0.00,0.00,0,1
33.72,0.00,0.00,0,1
33.71,0.00,0.00,0,1
33.74,0.00,0.00,0,1
33.83,0.00,0.00,0,1
33.84,0.00,0.00,0,1
33.82,0.00,0.00,0,1
33.92,0.00,0.00,0,1
33.99,0.00,0.00,0,1
33.96,0.00,0.00,0,1
33.86,0.00,0.00,0,1
34.11,0.00,0.00,0,1
33.99,0.00,0.00,0,1
34.08,50.00,1.16,0,1
33.97,50.00,1.16,0,1
34.09,50.00,1.16,0,1
34.15,50.00,1.16,0,1
34.08,50.00,1.16,0,1
34.03,50.00,1.16,0,1
33.94,50.00,1.16,0,1
34.07,50.00,1.16,0,1
34.10,50.00,1.16,0,1
34.09,50.00,1.16,0,1
33.97,50.00,1.16,0,1
34.00,50.00,1.16,0,1
34.07,50.00,1.16,0,1
34.00,50.00,1.16,0,1
33.91,50.00,1.16,0,1
34.02,50.00,1.16,0,1
34.13,50.00,1.16,0,1
34.07,50.00,1.16,0,1
34.15,50.00,1.16,0,1
33.97,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.09,50.00,1.16,0,1
34.14,50.00,1.16,0,1
34.02,50.00,1.16,0,1
34.06,50.00,1.16,0,1
34.11,50.00,1.16,0,1
34.19,50.00,1.16,0,1
33.96,50.00,1.16,0,1
34.13,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.16,50.00,1.16,0,1
34.17,50.00,1.16,0,1
34.04,50.00,1.16,0,1
34.03,50.00,1.16,0,1
33.95,50.00,1.16,0,1
34.00,50.00,1.16,0,1
33.92,50.00,1.16,0,1
34.05,50.00,1.16,0,1
34.01,50.00,1.16,0,1
33.99,50.00,1.16,0,1
33.92,50.00,1.16,0,1
33.94,50.00,1.16,0,1
33.94,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.82,50.00,1.16,0,1
33.85,50.00,1.16,0,1
33.90,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.76,50.00,1.16,0,1
33.80,50.00,1.16,0,1
33.64,50.00,1.16,0,1
33.75,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.70,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.79,50.00,1.16,0,1
33.85,50.00,1.16,0,1
33.88,50.00,1.16,0,1
33.93,50.00,1.16,0,1
33.82,50.00,1.16,0,1
33.91,50.00,1.16,0,1
33.90,50.00,1.16,0,1
33.89,50.00,1.16,0,1
33.80,50.00,1.16,0,1
33.91,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.86,50.00,1.16,0,1
33.81,50.00,1.16,0,1
33.74,50.00,1.16,0,1
33.73,50.00,1.16,0,1
33.77,50.00,1.16,0,1
33.70,50.00,1.16,0,1
33.57,50.00,1.16,0,1
33.59,50.00,1.16,0,1
33.59,50.00,1.16,0,1
33.64,50.00,1.16,0,1
33.38,50.00,1.16,0,1
33.32,50.00,1.16,0,1
33.20,50.00,1.16,0,1
33.09,50.00,1.16,0,1
32.96,50.00,1.16,0,1
32.98,50.00,1.16,0,1
33.35,50.00,1.16,0,1
33.11,50.00,1.16,0,1
33.52,50.00,1.16,0,1
33.65,50.00,1.16,0,1
33.23,50.00,1.16,0,1
37.81,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
38.59,50.00,1.16,0,0
38.88,50.00,1.16,0,0
39.92,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,1.16,0,0
40.00,50.00,4.92,0,0
40.00,60.50,4.91,0,0
40.00,60.50,4.91,0,0
40.00,50.00,4.85,0,0
40.00,50.00,4.83,0,0
40.00,50.00,4.97,0,0
40.00,50.00,0.13,0,0
40.00,50.00,0.13,0,0
40.00,50.00,0.15,0,0
40.00,59.50,0.16,0,0
40.00,50.00,0.16,0,0
40.00,50.00,0.16,0,0
40.00,50.00,0.16,0,0
40.00,60.50,0.03,0,0
40.00,51.06,0.03,1,0
40.00,51.43,0.03,1,0
40.00,51.43,0.03,1,0
40.00,50.00,0.14,0,0
39.87,50.00,0.15,0,0
39.69,50.00,0.14,0,0
33.27,0.00,0.00,0,1
33.34,0.00,0.00,0,1
33.37,0.00,0.00,0,1
33.34,0.00,0.00,0,1
33.18,0.00,0.00,0,1
33.30,0.00,0.00,0,1
33.39,0.00,0.00,0,1
33.25,0.00,0.00,0,1
33.22,0.00,0.00,0,1
33.40,0.00,0.00,0,1
33.40,0.00,0.00,0,1
33.41,0.00,0.00,0,1
33.38,0.00,0.00,0,1
33.46,0.00,0.00,0,1
33.57,0.00,0.00,0,1
33.60,0.00,0.00,0,1
33.53,0.00,0.00,0,1
33.58,0.00,0.00,0,1
33.70,0.00,0.00,0,1
33.64,0.00,0.00,0,1
33.69,0.00,0.00,0,1
33.73,0.00,0.00,0,1
34.00,0.00,0.00,0,1
33.97,0.00,0.00,0,1
34.54,0.00,0.00,0,1
35.40,60.00,0.05,0,1
36.98,60.00,0.06,0,0
37.19,61.02,0.06,0,0
37.38,60.00,0.05,0,0
37.50,59.50,0.00,1,0
37.27,60.50,0.00,0,0
37.18,59.50,0.00,1,0
37.16,60.50,0.00,0,0
37.14,60.50,0.00,0,0
36.97,59.50,0.00,1,0
37.10,60.00,0.00,0,0
36.93,60.50,0.00,0,0
37.00,59.50,0.00,1,0
36.72,60.50,0.00,0,0
36.93,60.50,0.00,0,0
36.90,59.50,0.00,1,0
36.90,59.50,0.00,1,0
36.88,59.50,0.00,1,0
36.94,59.50,0.00,1,0
36.88,59.50,0.00,1,0
36.89,59.50,0.00,1,0
36.86,59.50,0.00,1,0
36.73,59.50,0.00,1,0
36.84,59.50,0.00,1,0
36.92,59.50,0.00,1,0
36.75,59.50,0.00,1,0
36.68,59.50,0.00,1,0
36.77,59.50,0.00,1,0
36.85,59.50,0.00,1,0
36.69,59.50,0.00,1,0
36.63,59.50,0.00,1,0
36.36,59.50,0.00,1,0
36.62,59.50,0.00,1,0
36.65,59.50,0.00,1,0
36.35,59.50,0.00,1,0
36.47,59.50,0.00,1,0
36.55,59.50,0.00,1,0
36.41,59.50,0.00,1,0
36.46,59.50,0.00,1,0
36.37,59.50,0.00,1,0
36.55,59.50,0.00,1,0
36.45,59.50,0.00,1,0
36.13,59.50,0.00,1,0
35.83,59.50,0.00,1,1
35.82,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.46,59.50,0.00,1,1
35.34,59.50,0.00,1,1
35.36,59.50,0.00,1,1
35.25,59.50,0.00,1,1
35.54,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.38,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.23,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.38,59.50,0.00,1,1
35.15,59.50,0.00,1,1
35.23,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.15,59.50,0.00,1,1
35.31,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.30,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.65,59.50,0.00,1,1
35.13,59.50,0.00,1,1
35.33,59.50,0.00,1,1
35.55,59.50,0.00,1,1
35.46,59.50,0.00,1,1
35.43,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.26,59.50,0.00,1,1
35.49,59.50,0.00,1,1
35.65,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.37,59.50,0.00,1,1
35.62,59.50,0.00,1,1
35.24,59.50,0.00,1,1
35.39,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.48,59.50,0.00,1,1
35.62,59.50,0.00,1,1
35.25,59.50,0.00,1,1
35.09,59.50,0.00,1,1
35.69,59.50,0.00,1,1
35.43,59.50,0.00,1,1
35.40,59.50,0.00,1,1
35.45,59.50,0.00,1,1
35.37,59.50,0.00,1,1
35.47,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.21,59.50,0.00,1,1
35.60,59.50,0.00,1,1
35.36,59.50,0.00,1,1
35.42,59.50,0.00,1,1
35.39,59.50,0.00,1,1
35.31,59.50,0.00,1,1
35.20,59.50,0.00,1,1
35.35,59.50,0.00,1,1
35.08,59.50,0.00,1,1
35.36,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.33,59.50,0.00,1,1
35.27,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.05,59.50,0.00,1,1
35.53,59.50,0.00,1,1
35.34,59.50,0.00,1,1
35.17,59.50,0.00,1,1
35.09,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.06,59.50,0.00,1,1
34.92,59.50,0.00,1,1
35.02,59.50,0.00,1,1
35.12,59.50,0.00,1,1
35.14,59.50,0.00,1,1
35.21,59.50,0.00,1,1
35.04,59.50,0.00,1,1
34.96,59.50,0.00,1,1
35.28,59.50,0.00,1,1
35.11,59.50,0.00,1,1
35.12,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.16,59.50,0.00,1,1
35.22,59.50,0.00,1,1
35.19,59.50,0.00,1,1
35.19,59.50,0.00,1,1
35.19,59.50,0.00,1,1
34.99,59.50,0.00,1,1
35.04,59.50,0.00,1,1
35.16,59.50,0.00,1,1
34.89,59.50,0.00,1,1
35.29,59.50,0.00,1,1
35.57,59.50,0.00,1,1
35.72,50.00,5.85,0,1
36.06,60.00,5.85,0,0
36.56,59.50,5.85,0,0
36.58,60.50,5.85,0,0
36.57,60.00,5.85,0,0
36.59,60.50,0.00,0,0
36.86,59.50,0.00,1,0
36.96,60.50,0.00,0,0
36.98,60.00,0.00,0,0
36.77,60.00,0.00,0,0
36.98,60.00,0.00,0,0
37.00,60.50,0.00,0,0
36.81,60.00,0.00,0,0
36.83,60.00,0.00,0,0
36.80,59.50,0.00,1,0
36.78,61.02,0.00,0,0
36.80,61.02,0.00,0,0
36.81,61.02,0.00,0,0
36.77,61.02,0.00,0,0
36.96,61.02,0.00,0,0
36.88,61.02,0.00,0,0
36.92,61.02,0.00,0,0
36.80,61.02,0.00,0,0
36.93,61.02,0.00,0,0
36.96,61.02,0.00,0,0
36.99,61.02,0.00,0,0
37.12,61.02,0.00,0,0
37.04,61.02,0.00,0,0
37.03,61.02,0.00,0,0
37.03,61.02,0.00,0,0
37.21,61.02,0.00,0,0
36.92,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.33,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.00,61.02,0.00,0,0
37.15,61.02,0.00,0,0
37.26,50.00,1.01,0,0
37.19,60.50,1.01,0,0
37.17,60.00,1.01,0,0
37.17,59.50,1.01,0,0
37.12,60.00,1.01,0,0
37.08,61.02,0.00,0,0
37.12,60.00,0.00,0,0
37.03,59.50,0.00,1,0
37.18,60.00,0.00,0,0
37.09,60.00,0.00,0,0
37.13,61.02,0.00,0,0
36.98,59.50,0.00,1,0
37.16,60.00,0.00,0,0
37.13,60.00,0.00,0,0
37.11,60.50,0.00,0,0
37.11,60.00,0.00,0,0
37.04,60.00,0.00,0,0
36.95,60.00,0.00,0,0
37.04,60.50,0.00,0,0
37.31,59.50,0.00,1,0
37.06,60.50,0.00,0,0
37.03,60.00,0.00,0,0
37.17,59.50,0.00,1,0
37.18,60.50,0.00,0,0
36.77,60.00,0.00,0,0
37.22,60.50,0.00,0,0
37.24,59.50,0.00,1,0
37.00,60.50,0.00,0,0
36.97,60.00,0.00,0,0
37.01,60.00,0.00,0,0
36.89,60.00,0.00,0,0
37.05,60.50,0.00,0,0
37.10,60.50,0.00,0,0
37.05,60.50,0.00,0,0
36.98,60.50,0.00,0,0
37.19,60.50,0.00,0,0
36.99,60.50,0.00,0,0
37.04,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.10,60.50,0.00,0,0
37.30,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.06,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.18,60.50,0.00,0,0
37.30,60.50,0.00,0,0
37.29,60.50,0.00,0,0
37.18,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.21,60.50,0.00,0,0
37.53,60.50,0.00,0,0
37.33,60.50,0.00,0,0
37.54,60.50,0.00,0,0
37.24,60.50,0.00,0,0
37.23,60.50,0.00,0,0
37.38,60.50,0.00,0,0
37.39,60.50,0.00,0,0
37.53,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.27,60.50,0.00,0,0
37.14,60.50,0.00,0,0
37.41,60.50,0.00,0,0
37.22,60.50,0.00,0,0
37.37,60.50,0.00,0,0
37.52,60.50,0.00,0,0
37.27,60.50,0.00,0,0
37.31,60.50,0.00,0,0
37.34,60.50,0.00,0,0
37.21,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.22,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.15,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.38,50.00,2.16,0,0
37.08,60.00,2.16,0,0
37.36,60.50,2.16,0,0
36.97,60.00,2.16,0,0
37.08,60.00,2.16,0,0
37.28,59.50,0.00,1,0
37.28,60.50,0.00,0,0
37.25,60.50,0.00,0,0
37.17,60.00,0.00,0,0
37.13,59.50,0.00,1,0
37.04,60.00,0.00,0,0
36.90,61.02,0.00,0,0
36.87,60.00,0.00,0,0
36.52,60.00,0.00,0,0
36.18,59.50,0.00,1,0
35.13,60.00,0.00,0,1
34.94,60.50,0.00,0,1
35.09,60.50,0.00,0,1
35.02,60.00,0.00,0,1
34.94,60.00,0.00,0,1
35.02,60.00,0.00,0,1
34.90,60.00,0.00,0,1
34.39,60.00,0.00,0,1
34.61,60.00,0.00,0,1
34.80,60.00,0.00,0,1
34.75,60.00,0.00,0,1
34.69,60.00,0.00,0,1
34.84,60.00,0.00,0,1
34.99,60.00,0.00,0,1
35.31,60.00,0.00,0,1
34.79,60.00,0.00,0,1
35.00,50.00,0.58,0,1
34.83,60.00,0.58,0,1
34.88,60.00,0.58,0,1
35.16,60.00,0.58,0,1
35.17,60.00,0.58,0,1
34.77,60.50,0.00,0,1
35.15,60.00,0.00,0,1
34.86,60.00,0.00,0,1
35.11,60.00,0.00,0,1
35.19,60.00,0.00,0,1
35.09,60.50,0.00,0,1
34.91,60.00,0.00,0,1
35.07,60.00,0.00,0,1
35.11,60.00,0.00,0,1
34.89,60.00,0.00,0,1
35.05,59.50,0.00,1,1
34.90,60.50,0.00,0,1
35.05,60.50,0.00,0,1
